Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 66.67      0.02     0.02        8     2.50     2.50  Turbo::log_decoder(float*, float*, float*, float*, int)
 33.34      0.03     0.01    59400     0.00     0.00  std::complex<float>::imag() const
  0.00      0.03     0.00   758656     0.00     0.00  max_log(float, float)
  0.00      0.03     0.00   107554     0.00     0.00  std::complex<float>::complex(float, float)
  0.00      0.03     0.00    59400     0.00     0.00  std::complex<float>::real() const
  0.00      0.03     0.00    30000     0.00     0.00  std::complex<float>& std::complex<float>::operator-=<float>(std::complex<float> const&)
  0.00      0.03     0.00    28801     0.00     0.00  __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double)
  0.00      0.03     0.00    28800     0.00     0.00  std::complex<float>::__rep() const
  0.00      0.03     0.00    28800     0.00     0.00  std::__complex_abs(floatcomplex )
  0.00      0.03     0.00    28800     0.00     0.00  float std::abs<float>(std::complex<float> const&)
  0.00      0.03     0.00    28800     0.00     0.00  std::complex<float> std::operator-<float>(std::complex<float> const&, std::complex<float> const&)
  0.00      0.03     0.00    14400     0.00     0.00  Modulation::vecmin(float*, int)
  0.00      0.03     0.00    14400     0.00     0.00  std::complex<float>& std::complex<float>::operator*=<float>(std::complex<float> const&)
  0.00      0.03     0.00    14400     0.00     0.00  std::complex<float> std::operator*<float>(std::complex<float> const&, std::complex<float> const&)
  0.00      0.03     0.00    13200     0.00     0.00  std::complex<float>& std::complex<float>::operator+=<float>(std::complex<float> const&)
  0.00      0.03     0.00    10768     0.00     0.00  std::complex<float>::operator/=(float)
  0.00      0.03     0.00    10768     0.00     0.00  std::sqrt(float)
  0.00      0.03     0.00    10768     0.00     0.00  std::complex<float> std::operator/<float>(std::complex<float> const&, float const&)
