#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           73                0
   7 ADD                         9959                0
  10 ADDSD                       2216                0
  11 ADDSS                        213                0
  21 AND                         2437                0
  23 ANDNPD                        12                0
  24 ANDNPS                         8                0
  25 ANDPD                        112                0
  26 ANDPS                        108                0
  52 BSF                           15                0
  53 BSR                           40                0
  54 BSWAP                         32                0
  55 BT                             5                0
  61 CALL_NEAR                  15023                0
  64 CDQE                         681                0
  67 CLD                            3                0
  90 CMP                        13009                0
  95 CMPSD_XMM                      2                0
  97 CMPSS                          2                0
  99 CMPXCHG                      435                0
 111 CVTPD2PS                      77                0
 115 CVTPS2PD                     102                0
 117 CVTSD2SI                       1                0
 119 CVTSI2SD                      48                0
 120 CVTSI2SS                      21                0
 122 CVTSS2SI                       1                0
 127 CVTTSD2SI                     19                0
 128 CVTTSS2SI                      6                0
 133 DEC                          580                0
 134 DIV                           80                0
 137 DIVSD                        104                0
 138 DIVSS                         75                0
 147 F2XM1                          1                0
 148 FABS                          41                0
 149 FADD                          63                0
 150 FADDP                        131                0
 153 FCHS                          76                0
 166 FCOMPP                         1                0
 167 FCOS                           2                0
 170 FDIV                           9                0
 171 FDIVP                         11                0
 172 FDIVR                         11                0
 173 FDIVRP                        13                0
 183 FILD                          13                0
 187 FISTP                         20                0
 191 FLD                         1200                0
 192 FLD1                          38                0
 193 FLDCW                         47                0
 194 FLDENV                        41                0
 198 FLDLN2                         2                0
 199 FLDPI                          8                0
 200 FLDZ                         100                0
 201 FMUL                         199                0
 202 FMULP                         53                0
 203 FNCLEX                         1                0
 207 FNSTCW                        30                0
 208 FNSTENV                       41                0
 209 FNSTSW                        74                0
 210 FPATAN                         1                0
 212 FPREM1                         5                0
 213 FPTAN                          2                0
 214 FRNDINT                        6                0
 216 FSCALE                         4                0
 218 FSIN                           2                0
 219 FSINCOS                        4                0
 221 FST                            1                0
 222 FSTP                        1211                0
 224 FSUB                          42                0
 225 FSUBP                         67                0
 226 FSUBR                         15                0
 227 FSUBRP                        20                0
 230 FUCOMI                        97                0
 231 FUCOMIP                       72                0
 234 FWAIT                         49                0
 235 FXAM                          60                0
 236 FXCH                         399                0
 241 FXTRACT                        3                0
 242 FYL2X                          1                0
 243 FYL2XP1                        1                0
 247 HLT                            4                0
 250 IDIV                          58                0
 251 IMUL                         334                0
 252 IN                             1                0
 253 INC                           64                0
 272 JB                           293                0
 273 JBE                          894                0
 274 JL                            74                0
 275 JLE                          797                0
 276 JMP                        12858                0
 278 JNB                         1217                0
 279 JNBE                        1188                0
 280 JNL                           64                0
 281 JNLE                         537                0
 283 JNP                           78                0
 284 JNS                          129                0
 285 JNZ                         7295                0
 287 JP                           303                0
 289 JS                           667                0
 290 JZ                         10420                0
 294 LDMXCSR                        9                0
 296 LEA                        12373                0
 297 LEAVE                        176                0
 324 MAXSD                          1                0
 325 MAXSS                          1                0
 326 MFENCE                         1                0
